,target,source
198,1894,412057
199,1894,agichtein01learning
200,1894,bahle02efficient
201,1894,clarke01exploiting
202,1894,craswell00server
203,1894,hawking01which
204,1894,kobayashi00information
205,1894,singhal01case
206,19017,449529
207,190915,190915
208,191426,abecker01decor
209,191426,christophides00community
210,191426,rabarijaona99building
211,19199,allen01towards
212,19199,lesh99using
213,192612,441191
214,192612,broekstra02enabling
215,192612,buckinghamshum00scholonto
216,192612,kushmerick00wrapper
217,192612,vanzwol99searching
218,192612,wache01ontologybased
219,192987,ramakrishna00similarity
220,19461,442965
221,19461,honavar98distributed
222,19462,bassiliades01interbasekb
223,194986,liu00threedimensional
224,196686,300852
225,196686,bergo01text
226,196686,karypis00concept
227,196686,kuo00web
228,196686,shankar00weight
229,197022,goldstein00creating
230,197022,goldstein99automatic
231,198191,broersen00leveled
232,198731,236597
233,199764,453469
234,200188,374383
235,20100,348038
236,20100,roobaert00comparison
237,20100,roobaert00directsvm
238,20100,roobaert99viewbased
239,201746,zaki00sequence
240,201850,448486
241,201850,454640
242,201909,bohte00current
243,202521,202521
244,202938,408262
245,202938,529793
246,202938,carr01conceptual
247,202938,handschuh02authoring
248,202938,iksal01revisiting
249,202938,vdovjak01rdf
250,203721,arai01multiagent
251,203721,murray01specifying
252,203721,stolzenburg01from
253,20379,dautenhahn99studying
254,20379,scassellati99knowing
255,20543,20543
256,20543,may99how
257,2056,448486
258,20587,jurisica96inductive
259,206655,267965
260,206655,279508
261,206655,375424
262,206655,376145
263,206655,455651
264,206655,ipeirotis01probe
265,206655,wu01towards
266,20706,128773
267,2102,400733
268,2102,449621
269,2102,475405
270,2102,ghani01combining
271,2102,larsen01probabilistic
272,2102,sarkar01applying
273,2102,szummer01kernel
274,2102,wu00discriminantem
275,210603,212779
276,210,martinez99face
277,210,oliver99bayesian
278,210,patterson02context
279,210,rosario99synthetic
280,21158,14648
281,21158,475405
282,21158,68306
283,21158,9546
284,21158,boyapati00towards
285,21158,christophides00community
286,21158,goecks99automatically
287,21158,hellerstein00recognizing
288,21158,joachims00estimating
289,21158,joachims99transductive
290,21158,marquez00machine
291,21158,mooney00contentbased
292,21158,nigam01using
293,21158,schohn00less
294,21158,thrun98framework
295,212779,343493
296,21283,214340
297,212834,chantemargue99collective
298,214340,382379
299,214340,dumas99sequencebased
300,21655,handschuh02authoring
301,21655,knoblock00accurately
302,21655,kushmerick02adaptive
303,21655,kushmerick02finitestate
304,21655,lawrence00context
305,21655,raman01potters
306,220216,441053
307,220216,452506
308,220216,ghavamzadeh01continuoustime
309,220216,jonsson01automated
310,220216,makar01hierarchical
311,220216,precup01offpolicy
312,22140,cvetkovic99genetic
313,22187,382301
314,22187,384644
315,22187,dotsch00tic
316,22358,307133
317,22358,ravat99towards
318,226124,christophides00community
319,226296,540501
320,226643,340342
321,226643,pan00prosody
322,22778,22778
323,22778,386167
324,22778,95871
325,22778,bailey01analysis
326,22778,bailey02eventconditionaction
327,22778,papakonstantinou98query
328,22778,quan00argos
329,22778,tova99active
330,22863,476601
331,22863,bieman01finding
332,22863,drori01algorithm
333,22863,glover02using
334,22863,lawrence00context
335,22863,popescul01probabilistic
336,22863,popescul02towards
337,22903,32197
338,22903,4495
339,22903,538938
340,230265,yang01pms
341,23217,bonner98state
342,232670,448486
343,233063,340534
344,233063,deweerdt00plan
345,233508,254693
346,233508,352789
347,233508,agarwal01time
348,233508,erwig00querybytrace
349,235064,235064
350,235064,murthy00concept
351,235466,schneider00disseminating
352,236095,459233
353,236095,478775
354,236095,526689
355,236095,alvarez00web
356,236095,chen00features
357,236095,iyer00boosting
358,236095,popescul01probabilistic
359,236597,sim00to
360,23799,ferhatosmanoglu01constrained
361,240151,524282
362,240151,greenberg01phidgets
363,241799,zunino01representing
364,242172,452225
365,242172,453948
366,242172,474167
367,242172,bush01styx
368,242172,david01agentbased
369,242172,huget02application
370,242172,huget02model
371,242836,boyle00grouplab
372,24318,443403
373,243680,cabri01engineering
374,243680,ginsburg98annotate
375,24402,24402
376,244548,doan99efficiently
377,244548,ives00adaptive
378,245254,kreuziger92application
379,24549,28031
380,24549,baker00hallucinating
381,24549,essa99computer
382,24549,martinez00recognition
383,24549,moghaddam98beyond
384,24549,weng00incremental
385,24549,weng99face
386,24549,zhao00sfs
387,24549,zhao98empirical
388,246390,grandi00generalized
389,246390,roddick00beyond
390,249151,zhou00implementation
391,250204,inoue01controlling
392,250204,sadri99computational
393,250432,ulrich00appearancebased
394,250815,marsella00interactive
395,250815,miller00training
396,25225,25225
397,25225,kanungo99omnipage
398,253088,mistry01materialized
399,25329,536962
400,25329,faber99using
401,254041,297471
402,254041,538839
403,254597,471747
404,254597,496736
405,254597,feng01towards
406,254693,395537
407,254693,agarwal01time
408,254693,arge02optimal
409,257148,524282
410,257148,greenberg01phidgets
411,25809,315017
412,25809,405310
413,261862,459109
414,263737,liu01drawcad
415,263737,liu99olog
416,263737,liu99rol
417,263968,196348
418,26484,147445
419,267501,509763
420,267501,nguyen00active
421,267965,376145
422,270207,aberg01collection
423,270469,376734
424,270469,su00prediction
425,270469,su00whatnext
426,270469,ultis01adaboost
427,271585,bergmark02collection
428,271585,bergmark02focused
429,271585,chakrabarti02accelerated
430,271585,craswell01effective
431,271585,davison00topical
432,271585,dlrg02background
433,271585,haveliwala02evaluating
434,274436,274436
435,27645,nie01joint
436,27645,widom00wsqdsq
437,276915,457229
438,276915,allen01towards
439,277650,rigoll99statistical
440,277650,snoek02stateart
441,280639,280639
442,280639,slivinskas00foundation
443,28223,409432
444,28223,455511
445,28223,eiter00data
446,28223,eiter00extension
447,28223,lukasiewicz00probabilistic
448,282608,wijsen99generalizing
449,282608,wijsen99stringbased
450,28307,maloof99machine
451,28307,wroblewski00analyzing
452,28315,294031
453,28315,455336
454,28315,455961
455,28315,chomicki99animating
456,28315,erwig00querybytrace
457,28315,forlizzi99data
458,28315,grumbach00manipulating
459,28315,kollios99nearest
460,28315,ryu01application
461,284454,476601
462,284454,aggarwal01intelligent
463,284454,lawrence00context
464,285081,hunter00merging
465,286829,chang99approximate
466,286829,green01sdlip
467,288424,granlund01patternsupported
468,288424,vanwelie00patterns
469,289676,moran99improvement
470,28981,388587
471,28981,beuster00mia
472,28981,kushmerick02adaptive
473,28981,nahm00mutually
474,292223,vanschooten01structuring
475,292524,pal02web
476,29319,138121
477,293286,454519
478,293286,486074
479,293286,506324
480,293286,nguyen01monitoring
481,294039,druin01designing
482,294238,punyakanok01use
483,294238,roth01relational
484,295186,naumann01from
485,295196,cassell00more
486,29551,veloso99cmunited
487,295535,340329
488,295535,508859
489,295535,531549
490,295535,giorgini01multiagent
491,296568,454876
492,298782,279508
493,298782,375424
494,298782,472783
495,298827,antifakos01exploration
496,298894,kakas01abduction
497,299008,brass98semantics
498,300048,rosales00hand
499,300232,300232
500,300232,brandt00task
501,300852,bergmark02collection
502,300852,bergmark02focused
503,300852,dlrg02background
504,301428,li01indexing
505,301428,zhang01supporting
506,301461,miles00designing
507,30237,322267
508,302575,489313
509,302575,vandertorre01contextual
510,306529,parker00current
511,307133,453663
512,307268,rungsarityotin00finding
513,307268,ulrich00appearancebased
514,308936,fuhr01digital
515,308951,303350
516,310158,escudero00portability
517,310158,marquez00machine
518,310437,mitzenmacher01estimating
519,311175,249633
520,311175,254597
521,31199,29745
522,31199,84828
523,31326,murphy01bayes
524,31326,rehg99visionbased
525,314295,114563
526,314295,236095
527,314295,373513
528,314295,518092
529,314295,66208
530,314295,cohen01learning
531,314295,cohen98integration
532,314295,iyer00boosting
533,314295,popescul01probabilistic
534,314295,schein01generative
535,314651,kriegel00managing
536,315017,315017
537,315017,405310
538,315336,afrati02answering
539,315336,convey01data
540,315336,halevy00theory
541,315336,li01minimizing
542,317766,448486
543,317766,458600
544,317766,495550
545,317766,cal01accessing
546,317766,cal02expressive
547,317766,calvanese02lossless
548,317766,goasdoue00rewriting
549,317766,vianu01web
550,319242,504171
551,319242,romer01smart
552,322562,sandholm01market
553,322562,sandholm01side
554,323158,mcdonald00heterogeneous
555,323163,liu00implementation
556,323867,bieman01finding
557,323867,hu01overview
558,323867,lawrence00context
559,323955,532672
560,323955,539420
561,323955,finney02learning
562,32409,278114
563,32409,298894
564,324100,415300
565,32521,196762
566,32521,54866
567,32521,6411
568,32521,cohen98integration
569,32521,cohen98joins
570,32521,gray99finding
571,32521,hunter00merging
572,32521,muslea99hierarchical
573,32521,oyama01keyword
574,32521,zelikovitz00improving
575,32742,williams01searchable
576,328087,455679
577,328242,416413
578,328242,beigl00mediacups
579,328242,dey01distributed
580,32986,32986
581,32986,haveliwala02evaluating
582,329890,510172
583,329899,454876
584,329899,455655
585,329899,475379
586,329899,nigam01using
587,329899,sche01active
588,329899,scheffer01active
589,329899,taniguchi01mining
590,330661,456004
591,330661,486097
592,33084,33084
593,33084,75800
594,33084,thrun98map
595,332050,flake00agents
596,332050,flake01towards
597,332626,bartoli00online
598,332789,454124
599,332789,caropreso00statistical
600,335912,boutilier01partialorder
601,335912,stolzenburg01from
602,340342,340342
603,340342,pan00prosody
604,340473,larsen01probabilistic
605,340473,szymkowiak01hierarchical
606,340855,biskup00constraints
607,34322,sycara95using
608,34341,caragea01analysis
609,34341,clifton01privacy
610,34341,sarawagi00data
611,34341,tsoumakas01fuzzy
612,34341,vaidya02privacy
613,345377,sarwar01itembased
614,346149,346149
615,352769,351802
616,352789,395537
617,352789,agarwal01time
618,352789,arge02optimal
619,353348,78138
620,35592,66208
621,35592,69807
622,35592,90601
623,35592,zheng98integrating
624,35592,zheng98stochastic
625,356540,norrie02webbased
626,35804,stockinger01design
627,35804,vavouras00modeling
628,35997,stanley01evolving
629,35997,yong01cooperative
630,3602,11510
631,3602,23381
632,3602,29551
633,3602,veloso99cmunited
634,362156,362156
635,362156,muller01cube
636,363813,386167
637,364207,luo02hybrid
638,364207,timm01from
639,364207,wache01ontologybased
640,364516,kruschwitz01exploiting
641,367226,marsh01evaluating
642,367226,marsh01guiding
643,367649,okamoto02supporting
644,369039,blok00top
645,369039,windhouwer01flexible
646,3733,60136
647,373966,453969
648,373966,macskassy01intelligent
649,373986,441527
650,373986,441927
651,373986,443686
652,373986,447337
653,374208,randell02well
654,375253,gellersen00adding
655,375424,472783
656,375424,476601
657,376961,510071
658,376961,bruckner01managing
659,37804,202510
660,382181,brass98semantics
661,382181,brass99computation
662,382181,wang00argumentationbased
663,382561,joho02hierarchical
664,38408,cohen00learning
665,38408,vanlaerhoven01realtime
666,386535,gray01dagents
667,386938,arpinar00open
668,387202,drori01algorithm
669,389181,brandes01visual
670,38927,gullickson98using
671,38927,krishnamurthy01dynamic
672,390217,michaud01using
673,397163,367226
674,397163,massink99towards
675,399288,giorgini01multiagent
676,399288,kolp01architectural
677,40032,537667
678,400733,athitsos01appearancebased
679,400733,rosales00hand
680,400733,wu01capturing
681,402224,bass01glimpse
682,402592,406866
683,40513,409432
684,40513,455511
685,40513,eiter00data
686,40513,eiter00extension
687,40513,lukasiewicz00probabilistic
688,405764,403850
689,408262,kalfoglou01integration
690,408356,408356
691,412941,papadopoulos00models
692,412974,huang01architecture
693,414073,441654
694,414073,balke00applications
695,414073,wagner01xmlbased
696,414088,horn01ai
697,41721,itskevitch01automatic
698,41784,465022
699,419282,wolf00expert
700,421686,sabater99engineering
701,422169,448486
702,423028,423028
703,4251,alvarez00web
704,4251,flake00efficient
705,4251,kobayashi00information
706,4251,kobayashi99information
707,425424,212779
708,425424,343493
709,425424,391515
710,425424,94069
711,428001,ormoneit01learning
712,42875,clark00finding
713,42875,lienhart02localizing
714,42875,snoek02stateart
715,43223,howell98learning
716,43223,howell98towards
717,43223,howell99gesture
718,43223,rosales00hand
719,43223,turk98moving
720,43410,schnattinger98qualitybased
721,43488,bonchi01web
722,43511,43511
723,4363,467872
724,43702,267537
725,43702,sun99from
726,43702,sun99hybrid
727,43702,sun99symbol
728,440022,low01simulated
729,440714,hsu02genetic
730,440927,529793
731,440927,530008
732,440927,handschuh02authoring
733,440927,maedche02bootstrapping
734,441053,guestrin02algorithmdirected
735,441654,478775
736,441654,bruno02evaluating
737,442160,crabbe01goal
738,442160,crabbe01multiple
739,442980,383150
740,442980,carkacioglu02learning
741,442980,liu00threedimensional
742,442980,tsuda00subspace
743,448486,nambiar01benchmarking
744,448486,shasha02algorithmics
745,448769,zambonelli01emergence
746,448928,448928
747,449669,carkacioglu02learning
748,449833,448486
749,449833,vianu01web
750,450055,448769
751,450055,452225
752,450055,ciancarini02coordination
753,450055,zambonelli01emergence
754,450284,cakmakci02context
755,45086,453199
756,451065,sintek01using
757,452225,sparkman01automated
758,453602,532865
759,453999,453999
760,453999,artale01temporal
761,454077,453999
762,454077,artale01temporal
763,454876,glover02using
764,455220,livingston01closing
765,455336,455336
766,455426,455426
767,45542,inza99feature
768,45542,mitra01data
769,45542,smyth01data
770,455511,lukasiewicz00probabilistic
771,455679,455679
772,455997,wijngaards01mas
773,457130,ricci01enlightened
774,4579,kang01qrtdb
775,4588,483730
776,459286,wache01ontologybased
777,45960,vogel01performance
778,460350,jeh02scaling
779,460784,aiello01ontological
780,460784,deloach02analysis
781,461688,538839
782,461688,baumgartner01supervised
783,461688,gottlob02monadic
784,461688,ianni01intelligent
785,462179,buffet02adaptive
786,46363,28307
787,46363,34341
788,46363,prodromidis99comparative
789,4664,382181
790,4664,brass99equivalence
791,4664,dix01metaagent
792,467872,483769
793,46840,smyth01data
794,46858,43488
795,470345,setzkorn02evolving
796,470572,nigam01using
797,470572,roy01toward
798,471147,dam01antitonic
799,471293,fjeld99designing
800,475183,527235
801,475183,528700
802,475183,529964
803,47625,212779
804,47625,475405
805,47625,60136
806,47625,9546
807,47625,chakrabarti02accelerated
808,47625,ghani01combining
809,47625,glover02using
810,47625,joachims99transductive
811,47625,nigam01using
812,47625,peng01automatic
813,47625,sarkar01applying
814,476368,476368
815,4799,154973
816,4799,484682
817,4799,christina99detecting
818,4799,helmer01automated
819,4799,ragsdale00adaptation
820,48055,279508
821,48055,376145
822,48055,454034
823,48055,callan99automatic
824,48055,fiebig97raw
825,48055,green01sdlip
826,48055,kim00heterogeneous
827,48055,lam01overview
828,48055,lawrence00context
829,48055,liu98statistical
830,48055,vogt00how
831,48055,yu99finding
832,48055,yu99methodology
833,48156,gandon02multiagent
834,482081,482081
835,487862,527640
836,488749,470087
837,491166,hindriks00architecture
838,492133,539922
839,494575,meier01towards
840,494575,reijers01requirements
841,49524,poupyrev98virtual
842,50068,brass98semantics
843,50068,brass99computation
844,50068,wang00argumentationbased
845,501178,537176
846,50141,531549
847,50203,106339
848,50203,232896
849,50203,jagadish99querying
850,50337,50337
851,50337,jonker99multiagent
852,50337,vanschooten99report
853,505452,bartoli02nonlinear
854,506507,devedzic01knowledge
855,508147,ben-ameur02multiitem
856,509926,jalali-sohi01integrated
857,509926,jalali-sohi01multimodal
858,509926,roth01scalable
859,51036,slivinskas00foundation
860,51036,slivinskas01adaptable
861,51542,lutz99complexity
862,51607,296568
863,51607,453602
864,51607,454124
865,51607,boyapati00towards
866,51607,caropreso00statistical
867,51607,iyer00boosting
868,51607,macskassy01intelligent
869,51607,marquez00machine
870,51607,ultis01adaboost
871,51607,zhang01maximum
872,518472,estlin98using
873,518472,veloso94learning
874,5188,114563
875,5188,brand00style
876,520593,dotsch00tic
877,52576,krisnamurthy00intelligent
878,527475,452225
879,527475,453948
880,527475,474167
881,527475,bush01styx
882,527475,david01agentbased
883,527475,huget02application
884,527475,huget02model
885,529503,533604
886,53191,440714
887,53191,hsu02genetic
888,532140,luck01conceptual
889,532140,zini01caselp
890,538013,533891
891,539761,ali98implementing
892,539761,bryson00study
893,539761,nareyek00intelligent
894,54866,finn01fact
895,54866,kosala00web
896,54866,oyama01keyword
897,5541,bergamaschi98semantic
898,55643,232896
899,55740,196762
900,55740,424127
901,55740,ambite00flexible
902,55740,bauer99trias
903,55740,camacho00multiagent
904,55740,camacho00travelplan
905,55740,camacho01mapweb
906,55740,ghani00data
907,55740,kushmerick00wrapper
908,55740,muslea01hierarchical
909,55740,muslea99hierarchical
910,55740,oyama00cooperative
911,55740,pynadath99toward
912,55934,luo02hybrid
913,55934,parsons98argumentation
914,56093,sloman99building
915,56124,300852
916,56124,380343
917,56124,492009
918,56124,dhillon01coclustering
919,56124,dhillon01concept
920,56124,ghani01using
921,56124,karypis00concept
922,56124,shankar00weight
923,56231,296568
924,56231,329899
925,56231,454876
926,56231,9546
927,56231,kushmerick00wrapper
928,56231,marquez00machine
929,56231,soderland01building
930,56231,soderland99learning
931,56231,thompson99active
932,57205,64225
933,57205,rosales99trajectory
934,5749,491341
935,5749,singhal99document
936,5749,wactlar00informedia
937,60236,nie01joint
938,60365,449529
939,60728,bellatreche00what
940,60765,ganti98clustering
941,60765,kobayashi00information
942,61706,315153
943,62580,406717
944,62580,bartolini01feedbackbypass
945,62580,ciaccia00imprecision
946,62931,sadri99computational
947,63224,196348
948,63694,labrou01standardizing
949,6411,373513
950,6411,54866
951,6411,7537
952,6411,alvarez00web
953,6411,dlrg02background
954,6411,popescul00automatic
955,6411,seymore99learning
956,64225,rosales99trajectory
957,6439,cassell01more
958,6439,cassell02mack
959,64654,114563
960,64654,japan98learning
961,64765,23381
962,64765,29551
963,64765,32215
964,64765,50141
965,64765,marsella99being
966,65714,206655
967,65714,279508
968,65714,375424
969,65714,376145
970,65714,454034
971,65714,455651
972,65714,craswell00server
973,65714,hu01overview
974,65714,lawrence00context
975,65714,wang00concept
976,65714,wu01towards
977,65714,yu99methodology
978,65816,300852
979,65816,380343
980,65816,collier99genia
981,65816,friedman01multivariate
982,65816,gotoh00language
983,65816,gotoh00topicbased
984,65816,karypis00concept
985,65816,popescul00automatic
986,65816,shankar00weight
987,65816,slonim00document
988,65816,slonim01power
989,66208,459233
990,66208,478775
991,66208,526689
992,66208,alvarez00web
993,66208,chen00features
994,66208,iyer00boosting
995,66208,popescul01probabilistic
996,6729,306088
997,6729,508859
998,6729,bertelsen99augmenting
999,6729,mackay98augmented
1000,6729,mertz00pushing
1001,6729,mertz98conception
1002,67522,artale00expressivity
1003,67522,bennett00combinations
1004,67522,sturm00tableau
1005,67963,surmann00five
1006,68306,goecks99automatically
1007,68306,roy01toward
1008,6875,dotsch00tic
1009,68836,jansche01information
1010,70265,388587
1011,70265,beuster00mia
1012,70265,kushmerick02adaptive
1013,70265,nahm00mutually
1014,7036,7036
1015,71059,450055
1016,71059,cabri01engineering
1017,71059,gray01dagents
1018,71059,roth01scalable
1019,71076,iglesias99survey
1020,73094,khaled98gado
1021,73094,rasheed97guided
1022,74239,jain99statistical
1023,74239,smyth01data
1024,7436,55740
1025,7436,ambite00flexible
1026,74980,cardie99integrating
1027,74980,marquez00machine
1028,7537,346889
1029,7537,456508
1030,7537,538247
1031,7537,bergmark02focused
1032,7537,chen00websail
1033,7537,lawrence00context
1034,7537,shkapenyuk01design
1035,75402,66638
1036,75402,amato98obprm
1037,75402,amato99probabilistic
1038,75402,bohlin00path
1039,76283,12060
1040,77796,214340
1041,77796,wijsen01query
1042,7785,omlin98equivalence
1043,78138,78138
1044,78173,22778
1045,78173,323163
1046,78173,78173
1047,78547,192987
1048,78547,194227
1049,78547,360736
1050,78547,ahanger99technique
1051,78547,jaimes00integrating
1052,78547,rui99image
1053,78547,slaughter00open
1054,78547,wu00discriminantem
1055,7980,flach99firstorder
1056,81142,jonsson00planning
1057,81142,simmons00first
1058,8204,li01webdocument
1059,8204,mortazavi-asl01discovering
1060,82362,441105
1061,8263,460784
1062,8263,kotagiri01transaction
1063,8263,labrou99interoperability
1064,83259,sturm00tableau
1065,83444,210930
1066,83444,bellardo00implementing
1067,83444,cadoli98survey
1068,83444,eiter00difference
1069,845,108321
1070,845,184462
1071,845,83140
1072,845,drummond97using
1073,84830,337032
1074,84830,45960
1075,84830,thomas00creating
1076,85838,marquez00machine
1077,87014,455961
1078,87014,458208
1079,87014,535887
1080,87014,540501
1081,87014,nodine99active
1082,87928,298782
1083,87928,376145
1084,87928,454876
1085,87928,455651
1086,87928,455655
1087,87928,456508
1088,87928,460350
1089,87928,511540
1090,87928,amitay00incommonsense
1091,87928,bailey01engineering
1092,87928,bergmark02focused
1093,87928,chen00websail
1094,87928,cohn01missing
1095,87928,craswell01effective
1096,87928,davison99discoweb
1097,87928,dhillon01coclustering
1098,87928,dlrg02background
1099,87928,guillaume02web
1100,87928,ianni01intelligent
1101,87928,jeh02simrank
1102,87928,kosala00web
1103,87928,kuo00web
1104,87928,lam01overview
1105,87928,levene01web
1106,87928,menczer02topicdriven
1107,87928,rocha00biologically
1108,87928,terveen98evaluating
1109,87928,terveen99constructing
1110,88449,528932
1111,89078,539922
1112,89078,neumann99augmented
1113,8922,460643
1114,8922,509763
1115,8922,brown98utility
1116,8922,brown99active
1117,8922,joseph01why
1118,8922,nguyen00active
1119,89384,groh99automated
1120,8956,275630
1121,8956,460958
1122,8956,ghani00using
1123,8956,ghani01combining
1124,8956,rennie01improving
1125,90208,pan00prosody
1126,90507,527235
1127,90507,528700
1128,90507,529964
1129,90507,cunningham01developing
1130,90507,esteban01using
1131,90507,he00comparative
1132,90507,itskevitch01automatic
1133,90507,marquez00machine
1134,90507,nahm02text
1135,90507,schohn00less
1136,90601,90601
1137,9105,196686
1138,9105,300852
1139,9105,karypis00concept
1140,9105,zhao02criterion
1141,91978,68623
1142,91978,89879
1143,91978,baral00reasoning
1144,91978,degiacomo99incremental
1145,91978,kennedy98anomaly
1146,91978,kennedy99distributed
1147,92649,185650
1148,94069,210603
1149,94069,343493
1150,940,caropreso00statistical
1151,940,chakrabarti98scalable
1152,940,zavrel00information
1153,94992,sachdev98exploration
1154,94992,sachdev98spatial
1155,9546,424127
1156,9546,441191
1157,9546,444471
1158,9546,diao00toward
1159,9546,finn01fact
1160,9546,middleton02exploiting
1161,9546,oyama01keyword
1162,9546,pal02web
1163,9576,312028
1164,95810,mudgal00bilateral
1165,95810,zunino01representing
1166,95871,315336
1167,95871,grahne01algebraic
1168,95871,hammer99information
1169,9619,dorohonceanu00novel
1170,96518,233508
1171,96518,erwig00querybytrace
1172,9683,su00replicable
1173,98111,107700
1174,abberley99thisl,couvreur99speaker
1175,abello99maximum,bomze99maximum
1176,aberg01collection,520409
1177,abiteboul01representing,448486
1178,abiteboul98logical,meuss98dag
1179,abiteboul98logical,tova99active
1180,abowd00charting,cabri01engineering
1181,abowd00classroom,rom00gaia
1182,abraham00optimal,421280
1183,accot97beyond,isokoski01model
1184,acharya98active,22903
1185,acharya98active,300584
1186,acharya99selectivity,257648
1187,acharya99selectivity,acharya99selectivity
1188,adams99stable,251052
1189,advani99integrating,mk00implementing
1190,aggarwal01intelligent,535484
1191,aggarwal01intelligent,chakrabarti02accelerated
1192,aggarwal01intelligent,menczer02topicdriven
1193,aggarwal01intelligent,pant02exploration
1194,aggarwal01intelligent,srinivasan02web
1195,agichtein01learning,476601
1196,agichtein01learning,radev02probabilistic
1197,agouris98intelligent,baltsavias00integrating
1198,agrawal00athena,agrawal00athena
1199,agrawal00athena,itskevitch01automatic
1200,aguil00querying,barbosa01tox
1201,aha91casebased,22187
1202,aha91casebased,520593
1203,aha91casebased,5234
1204,aha91casebased,6875
1205,aha91casebased,73259
1206,aha91casebased,75123
1207,aha91casebased,77029
